categorie,vraag,optie_a,optie_b,optie_c,optie_d,correcte_optie
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A
Rekenen,Wat is de wortel van 144?,11,13,12,14,C
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A
Rekenen,Wat is de wortel van 144?,11,13,12,14,C
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D
Rekenen,Wat is de wortel van 144?,11,13,12,14,C
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B
Rekenen,Wat is 25% van 240?,60,50,55,65,A
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D
Rekenen,Wat is de wortel van 144?,11,13,12,14,C
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A
Rekenen,Wat is 25% van 240?,60,50,55,65,A
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A
Rekenen,Wat is 25% van 240?,60,50,55,65,A
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D
Rekenen,Wat is de wortel van 144?,11,13,12,14,C
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A
Rekenen,Wat is de wortel van 144?,11,13,12,14,C
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D
Rekenen,Wat is 25% van 240?,60,50,55,65,A
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D
Rekenen,Wat is 25% van 240?,60,50,55,65,A
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D
Rekenen,Wat is 25% van 240?,60,50,55,65,A
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A
Rekenen,Wat is 25% van 240?,60,50,55,65,A
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A
Rekenen,Wat is 25% van 240?,60,50,55,65,A
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D
Rekenen,Wat is de wortel van 144?,11,13,12,14,C
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D
Rekenen,Wat is 25% van 240?,60,50,55,65,A
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B
Rekenen,Wat is 25% van 240?,60,50,55,65,A
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B
Rekenen,Wat is 25% van 240?,60,50,55,65,A
Algemene kennis,Wie schilderde de Nachtwacht?,Van Gogh,Vermeer,Rembrandt,Mondriaan,C
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A
Rekenen,Wat is 25% van 240?,60,50,55,65,A
Algemene kennis,Wat is het grootste continent?,Afrika,Azië,Europa,Amerika,B
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B
Logisch redeneren,"Voltooi de reeks: 2, 4, 8, 16, ?",32,30,36,24,A
Taalvaardigheid,Wat is het meervoud van 'crisis'?,crisisen,crisissen,crisi,crises,D
Rekenen,Wat is de wortel van 144?,11,13,12,14,C
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B
Rekenen,Wat is 25% van 240?,60,50,55,65,A
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B
Logisch redeneren,"Als 3 = 6 en 4 = 8, wat is dan 5?",9,10,12,11,B
Taalvaardigheid,Wat is de juiste spelling?,pannenkoek,pannekoek,panne koek,panenkoek,A
Rekenen,"Wat is het gemiddelde van 8, 12 en 16?",12,11,13,14,A
Algemene kennis,Wat is de hoofdstad van Noorwegen?,Helsinki,Oslo,Stockholm,Kopenhagen,B
Logisch redeneren,"Als alle X Y zijn en geen Y Z is, wat volgt logisch?",X zijn Z,Sommige X zijn Z,Geen X is Z,Alle Z zijn X,C
Taalvaardigheid,Welke zin is correct?,Hun zijn daar,Zij hebben gewonnen,Me moeder belt,Jou boek ligt daar,B
